id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean,mca_dim_1,mca_dim_2,mca_dim_3,mca_dim_4,mca_dim_5,cluster
573297,2024-01-08,segunda-feira,06:30:00,DF,40,"4,8  ",BRASILIA,Não,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim  ,-16.012033,-47.982124,6.0,0.0,0,3,0,3,3,Leve,Reta,Simples,Urbana,Normal,Dia,BRASILIA,-0.6184619289703231,0.047283667886018135,0.2303632893211014,0.2681116635734806,-0.09673301076072918,5
573407,2024-01-08,segunda-feira,16:34:00,DF,20,"40,5 ",BRASILIA,Não,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Aclive,Não  ,-15.581552,-47.508035,8.0,0.0,0,4,4,0,4,Leve,Inclinacao,Simples,Rural,Adverso,Dia,BRASILIA,0.6796725877794315,0.6167865546576673,-0.12770159793584923,0.14521513906215155,0.2305694792111725,2
573425,2024-01-08,segunda-feira,18:00:00,DF,20,13   ,BRASILIA,Sim,Acumulo de água sobre o pavimento,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Sim  ,-15.638752,-47.749599,2.0,0.0,0,0,2,0,0,Sem_Lesoes,Reta,Simples,Urbana,Adverso,Dia,BRASILIA,-0.3792981338623544,0.9528318175228829,0.33600751943096313,-0.7168072324218567,-0.08496222557474707,7
573852,2024-01-10,quarta-feira,20:00:00,DF,80,13   ,BRASILIA,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Reta;Aclive,Não  ,-15.728034,-48.193768,12.0,0.0,0,6,6,0,6,Leve,Inclinacao,Simples,Rural,Normal,Noite,BRASILIA,0.4327416944550002,-0.14979612171401213,-0.5704750118080061,0.29374071996429857,-0.22543268846866,4
573857,2024-01-10,quarta-feira,21:20:00,GO,40,1    ,VALPARAISO DE GOIAS,Sim,Acesso irregular,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim  ,-16.067129,-47.984235,2.0,0.0,0,1,1,0,1,Leve,Reta,Simples,Urbana,Normal,Noite,VALPARAISO DE GOIAS,-0.556583029932239,-0.19573909410250648,-0.32787476673231714,0.29487991319011914,-0.478629531525502,1
574527,2024-01-13,sábado,20:00:00,DF,20,"56,9 ",BRASILIA,Sim,Iluminação deficiente,Capotamento,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Não  ,-15.583027,-47.367081,2.0,0.0,0,0,0,2,0,Sem_Lesoes,Curva,Simples,Rural,Normal,Noite,BRASILIA,0.4393116502185745,-0.24285851350448867,0.3328195075232539,-0.5483824603870713,0.11185026411893231,3
574553,2024-01-13,sábado,21:15:00,GO,153,"402,2",PIRENOPOLIS,Não,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não  ,-16.040709,-49.079845,4.0,0.0,0,2,2,0,2,Leve,Reta,Simples,Rural,Normal,Noite,PIRENOPOLIS,-0.07000944677736169,-0.4365976829166499,-0.35509830740700743,0.23910423401873382,-0.361606446874318,1
574722,2024-01-14,domingo,18:58:00,GO,40,"96,4 ",CRISTALINA,Não,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Anoitecer,Decrescente,Garoa/Chuvisco,Simples,Aclive;Reta,Sim  ,-16.7546396,-47.6041675,18.0,0.0,0,0,18,0,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Transicao,CRISTALINA,0.4985147118453078,0.8238089308678263,0.568747754316004,-0.5265069274475865,-0.8628292337469267,0
575114,2024-01-16,terça-feira,14:50:00,GO,20,"19,7 ",FORMOSA,Não,Falta de acostamento,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta;Declive,Não  ,-15.553887,-47.18708,70.0,29.750000000000085,0,0,14,14,126,Fatal,Inclinacao,Simples,Rural,Normal,Dia,FORMOSA,0.7654972039331788,-0.32551120971718384,-0.48730376008490434,-0.2480052954782208,0.3713381174920091,4
643509,2024-11-22,sexta-feira,16:00:00,DF,20,"25,4 ",BRASILIA,Não,Chuva,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Sim  ,-15.595603,-47.649715,54.0,0.0,0,18,36,0,18,Leve,Curva,Simples,Urbana,Adverso,Dia,BRASILIA,0.2693149576426752,0.3825945164276243,0.5817075897789776,0.22202920259199596,0.5131642088766584,0
575264,2024-01-17,quarta-feira,10:10:00,GO,50,99   ,CRISTALINA,Não,Acumulo de areia ou detritos sobre o pavimento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Em Obras,Sim  ,-16.7753024,-47.6235474,4.0,0.0,0,2,2,0,2,Leve,Reta,Simples,Urbana,Normal,Dia,CRISTALINA,-0.6184619289703231,0.047283667886018135,0.2303632893211014,0.2681116635734806,-0.09673301076072918,5
575898,2024-01-20,sábado,08:30:00,GO,70,"8,2  ",AGUAS LINDAS DE GOIAS,Sim,Falta de elemento de contenção que evite a saída do leito carroçável,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Declive,Sim  ,-15.7373368,-48.2740747,1.0,0.0,1,0,0,0,2,Grave,Curva,Simples,Urbana,Normal,Dia,AGUAS LINDAS DE GOIAS,-0.3777219115020304,-0.4789497612764356,0.5910267453122885,-0.14274647679585517,1.0492946133305388,9
576998,2024-01-25,quinta-feira,13:57:00,DF,60,27   ,BRASILIA,Não,Avarias e/ou desgaste excessivo no pneu,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Sim  ,-16.017551,-48.249252,24.0,0.0,0,18,6,0,18,Leve,Curva,Simples,Urbana,Adverso,Dia,BRASILIA,0.2693149576426752,0.3825945164276243,0.5817075897789776,0.22202920259199596,0.5131642088766584,0
577517,2024-01-28,domingo,04:39:00,DF,70,10   ,BRASILIA,Não,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim  ,-15.787066,-48.140709,12.0,0.0,0,6,6,0,6,Leve,Reta,Simples,Urbana,Adverso,Noite,BRASILIA,-0.24777323756972347,0.32782082028064846,-0.44333940891357887,0.1731225819046107,-0.4045238846104424,8
577625,2024-01-28,domingo,17:10:00,GO,70,29   ,COCALZINHO DE GOIAS,Não,Acumulo de água sobre o pavimento,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Simples,Curva,Não  ,-15.7639611,-48.4429058,12.0,0.0,0,6,6,0,6,Leve,Curva,Simples,Rural,Normal,Transicao,COCALZINHO DE GOIAS,0.8221404529103374,-0.7976484346273686,1.1180656305715884,0.4236746737348246,-0.35795911996505503,6
577828,2024-01-29,segunda-feira,15:00:00,DF,70,14   ,BRASILIA,Sim,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não  ,-15.797312,-48.176056,2.0,0.0,0,2,0,0,2,Leve,Reta,Simples,Rural,Normal,Dia,BRASILIA,-0.1318883458154459,-0.19357492092812537,0.20313974864641113,0.21233598440209525,0.02029007389045485,5
645045,2024-11-29,sexta-feira,17:22:00,DF,80,26   ,BRASILIA,Não,Velocidade Incompatível,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não  ,-15.612259,-48.198044,15.0,0.0,3,0,3,9,6,Grave,Curva,Simples,Rural,Adverso,Dia,BRASILIA,0.4176614640153624,-0.19624843570742423,0.44833856245633646,-0.32027948725274896,1.2404233448967825,3
578298,2024-02-01,quinta-feira,06:30:00,DF,20,"3,5  ",BRASILIA,Não,Acumulo de água sobre o pavimento,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Chuva,Múltipla,Declive;Ponte,Sim  ,-15.679851,-47.832211,6.0,0.0,0,0,6,0,0,Sem_Lesoes,Inclinacao,Multipla,Urbana,Adverso,Dia,BRASILIA,0.12345300737000746,1.2396333787255207,0.12063081502996452,-0.662170746476292,0.051211532830910955,7
578410,2024-02-01,quinta-feira,18:15:00,GO,40,3    ,VALPARAISO DE GOIAS,Sim,Acesso irregular,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim  ,-16.076081,-47.985671,2.0,0.0,0,1,1,0,1,Leve,Reta,Simples,Urbana,Normal,Dia,VALPARAISO DE GOIAS,-0.6184619289703231,0.047283667886018135,0.2303632893211014,0.2681116635734806,-0.09673301076072918,5
579852,2024-02-08,quinta-feira,19:10:00,GO,40,"0,2  ",VALPARAISO DE GOIAS,Sim,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Sim  ,-16.058273,-47.982655,1.0,0.0,1,0,0,0,2,Grave,Reta,Simples,Urbana,Normal,Noite,VALPARAISO DE GOIAS,-0.8948101067144291,-0.5337234574234115,-0.43402025338026795,-0.19165309748324044,0.13160651984343805,1
580480,2024-02-11,domingo,08:50:00,DF,60,"21,9 ",BRASILIA,Não,Chuva,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não  ,-15.979909,-48.206978,3.0,0.0,0,0,3,0,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA,0.1072754492925229,0.7119732287087395,0.30878397875627284,-0.7725829115932421,0.032060859076436965,0
580641,2024-02-11,domingo,23:10:00,GO,60,"19,1 ",ALEXANIA,Não,Pista Escorregadia,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Chuva,Dupla,Aclive;Reta,Não  ,-16.116914,-48.393592,12.0,3.0,3,6,0,0,24,Fatal,Inclinacao,Simples,Rural,Adverso,Noite,ALEXANIA,1.1361858953337785,-0.04497405732255352,-1.1610064583195847,-0.34299437714709075,0.06354724364229591,4
580648,2024-02-12,segunda-feira,00:40:00,DF,40,"2,9  ",BRASILIA,Não,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Interseção de Vias;Ponte;Reta,Sim  ,-15.99435,-47.985947,8.0,0.0,0,8,0,0,8,Leve,Obra_Arte,Simples,Urbana,Adverso,Noite,BRASILIA,-0.2589896904568466,1.3759416174574586,-0.5509325371421516,2.7139623408209457,0.7167212349475849,7
580722,2024-02-08,quinta-feira,17:25:00,GO,20,2    ,FORMOSA,Não,Demais falhas na via,Eventos atípicos,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Interseção de Vias;Reta,Sim  ,-15.57387,-47.327488,8.0,0.0,0,0,8,0,0,Sem_Lesoes,Reta,Simples,Urbana,Adverso,Dia,FORMOSA,-0.3792981338623544,0.9528318175228829,0.33600751943096313,-0.7168072324218567,-0.08496222557474707,7
580994,2024-02-13,terça-feira,20:44:00,GO,40,"9,3  ",LUZIANIA,Não,Pedestre - Ingestão de álcool/ substâncias psicoativas,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim  ,-16.131158,-47.957739,12.0,0.0,4,0,8,0,8,Grave,Reta,Simples,Urbana,Normal,Noite,LUZIANIA,-0.8948101067144291,-0.5337234574234115,-0.43402025338026795,-0.19165309748324044,0.13160651984343805,1
581510,2024-02-16,sexta-feira,15:00:00,GO,20,1    ,FORMOSA,Não,Restrição de visibilidade em curvas verticais,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Declive;Curva,Sim  ,-15.579424,-47.334297,12.0,0.0,0,6,6,0,6,Leve,Curva,Simples,Urbana,Normal,Dia,FORMOSA,-0.03949483471984031,-0.14096539795553056,0.6971722319602393,0.3437865338775044,0.4390585619615987,9
581709,2024-02-17,sábado,17:45:00,DF,60,19   ,BRASILIA,Sim,Acumulo de água sobre o pavimento,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim  ,-15.974583,-48.189411,4.0,0.0,0,2,0,2,2,Leve,Reta,Simples,Urbana,Normal,Dia,BRASILIA,-0.6184619289703231,0.047283667886018135,0.2303632893211014,0.2681116635734806,-0.09673301076072918,5
581936,2024-02-18,domingo,20:21:00,DF,20,"1,7  ",BRASILIA,Não,Frear bruscamente,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta;Interseção de Vias,Sim  ,-15.685814,-47.849838,20.0,0.0,16,0,4,0,32,Grave,Reta,Simples,Urbana,Adverso,Noite,BRASILIA,-0.5860003143519135,-0.010163543040256613,-0.5494848955615297,-0.3134104287687489,0.20571216675849766,1
582001,2024-02-19,segunda-feira,08:46:00,DF,20,2    ,BRASILIA,Sim,Acesso irregular,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Nublado,Múltipla,Interseção de Vias;Reta,Sim  ,-15.682896,-47.840729,4.0,0.0,0,0,2,2,0,Sem_Lesoes,Reta,Multipla,Urbana,Normal,Dia,BRASILIA,-0.6881079262248699,0.4292719031397281,0.45147216161222486,-0.5950499011363483,-0.15906787248980672,5
582268,2024-02-20,terça-feira,14:00:00,DF,20,13   ,BRASILIA,Sim,Pista Escorregadia,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não  ,-15.638752,-47.749599,1.0,0.0,0,0,0,1,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA,0.1072754492925229,0.7119732287087395,0.30878397875627284,-0.7725829115932421,0.032060859076436965,0
582269,2024-02-20,terça-feira,16:00:00,DF,20,"15,6 ",BRASILIA,Sim,Pista Escorregadia,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não  ,-15.630189,-47.733288,1.0,0.0,0,0,0,1,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA,0.1072754492925229,0.7119732287087395,0.30878397875627284,-0.7725829115932421,0.032060859076436965,0
582856,2024-02-23,sexta-feira,19:30:00,GO,414,"410,7",ABADIANIA,Não,Velocidade Incompatível,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Interseção de Vias;Reta,Sim  ,-16.0566499,-48.8538837,6.0,0.0,3,0,3,0,6,Grave,Reta,Simples,Urbana,Normal,Noite,ABADIANIA,-0.8948101067144291,-0.5337234574234115,-0.43402025338026795,-0.19165309748324044,0.13160651984343805,1
584282,2024-03-01,sexta-feira,18:05:00,GO,40,"7,1  ",VALPARAISO DE GOIAS,Não,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Reta,Sim  ,-16.108482,-47.972524,4.0,0.0,0,2,2,0,2,Leve,Reta,Simples,Urbana,Normal,Transicao,VALPARAISO DE GOIAS,-0.2434002244950228,-0.3685407799716764,0.6784802286071409,0.4037754826021861,-1.0107737773385668,9
584475,2024-03-02,sábado,13:25:00,DF,60,"8,6  ",BRASILIA,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Declive;Reta,Sim  ,-15.90542,-48.138196,12.0,0.0,0,6,6,0,6,Leve,Inclinacao,Simples,Urbana,Adverso,Dia,BRASILIA,0.1930990046245542,0.8576451434718108,-0.10047805726115894,0.20099081823353687,0.11354639455998848,7
584546,2024-03-02,sábado,19:18:00,GO,50,"97,8 ",CRISTALINA,Não,Reação tardia ou ineficiente do condutor,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Rotatória;Em Obras,Sim  ,-16.7660221,-47.6158941,30.0,0.0,0,0,30,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Noite,CRISTALINA,-0.6262290271867857,0.1862491411512035,-0.1067658944411937,-0.5682816515197098,-0.5409643932545796,5
585780,2024-03-08,sexta-feira,05:30:00,GO,414,416  ,ABADIANIA,Sim,Deficiência do Sistema de Iluminação/Sinalização,Incêndio,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Simples,Aclive;Curva,Não  ,-16.1026529,-48.8633823,1.0,0.0,0,0,1,0,0,Sem_Lesoes,Curva,Simples,Rural,Normal,Transicao,ABADIANIA,0.7524944556557907,-0.41566019937365856,1.339174502862712,-0.4394868909750043,-0.42029398169413257,6
586696,2024-03-12,terça-feira,05:49:00,DF,20,30   ,BRASILIA,Não,Iluminação deficiente,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Dupla,Declive;Reta,Não  ,-15.595327,-47.603848,80.0,0.0,16,0,64,0,32,Grave,Inclinacao,Simples,Rural,Normal,Transicao,BRASILIA,0.4076974231100263,-0.6605821709040871,0.3297344968835012,-0.0838967212969941,-0.14734088291278477,3
586759,2024-02-09,sexta-feira,17:40:00,GO,414,"402,4",CORUMBA DE GOIAS,Sim,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Simples,Curva,Não  ,-15.992372,-48.836667,4.0,0.0,0,4,0,0,4,Leve,Curva,Simples,Rural,Adverso,Transicao,CORUMBA DE GOIAS,1.1309502452728528,-0.2740885202442137,1.0026009883903266,0.3019173424493161,-0.28385347304999536,6
586763,2024-03-12,terça-feira,12:15:00,DF,251,33   ,BRASILIA,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não  ,-15.9386034,-47.746346,18.0,0.0,6,12,0,0,24,Grave,Reta,Simples,Rural,Normal,Dia,BRASILIA,-0.47011542259763595,-0.5315592842490304,0.09699426199846035,-0.27419702627126435,0.6305261252593949,1
586905,2024-03-13,quarta-feira,06:40:00,GO,20,116  ,FLORES DE GOIAS,Sim,Acumulo de água sobre o pavimento,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não  ,-14.880402,-46.853172,5.0,0.0,0,1,1,3,1,Leve,Reta,Simples,Rural,Adverso,Dia,FLORES DE GOIAS,0.17692144654706965,0.3299849934550295,0.0876751064651494,0.0905786531165868,0.09439572080551449,8
586942,2024-03-13,quarta-feira,08:30:00,DF,20,8    ,BRASILIA,Não,Velocidade Incompatível,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta;Declive,Sim  ,-15.658386,-47.791534,24.0,0.0,0,12,12,0,12,Leve,Inclinacao,Simples,Urbana,Normal,Dia,BRASILIA,-0.11571078773796133,0.33408522908865596,0.014986584920102804,0.32274814951904535,0.039440747644928845,8
587080,2024-03-13,quarta-feira,18:40:00,GO,40,17   ,LUZIANIA,Não,Chuva,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Chuva,Dupla,Reta;Declive,Sim  ,-16.18487,-47.928641,3.0,0.0,0,0,3,0,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Noite,LUZIANIA,0.18533190640809163,0.9966106167369961,-0.43760724102345405,-0.6354024968596534,-0.3306849879338619,7
587416,2024-03-15,sexta-feira,12:10:00,GO,50,99   ,CRISTALINA,Sim,Curva acentuada,Capotamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Em Obras;Interseção de Vias;Desvio Temporário,Sim  ,-16.7752879,-47.624445,3.0,0.0,0,0,3,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Dia,CRISTALINA,-0.6881079262248699,0.4292719031397281,0.45147216161222486,-0.5950499011363483,-0.15906787248980672,5
587490,2024-03-15,sexta-feira,19:38:00,GO,40,16   ,LUZIANIA,Não,Demais falhas na via,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim  ,-16.175176,-47.92964,12.0,0.0,12,0,0,0,24,Grave,Reta,Simples,Urbana,Normal,Noite,LUZIANIA,-0.8948101067144291,-0.5337234574234115,-0.43402025338026795,-0.19165309748324044,0.13160651984343805,1
587840,2024-03-17,domingo,11:00:00,GO,20,"146,8",ALVORADA DO NORTE,Sim,Acumulo de água sobre o pavimento,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não  ,-14.734658,-46.652908,8.0,0.0,4,2,2,0,10,Grave,Reta,Simples,Rural,Normal,Dia,ALVORADA DO NORTE,-0.47011542259763595,-0.5315592842490304,0.09699426199846035,-0.27419702627126435,0.6305261252593949,1
587896,2024-03-17,domingo,17:02:00,DF,20,17   ,BRASILIA,Sim,Acumulo de óleo sobre o pavimento,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim  ,-15.621374,-47.71698,1.0,0.0,0,0,1,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Dia,BRASILIA,-0.6881079262248699,0.4292719031397281,0.45147216161222486,-0.5950499011363483,-0.15906787248980672,5
589300,2024-03-23,sábado,19:00:00,DF,20,"5,8  ",BRASILIA,Não,Iluminação deficiente,Engavetamento,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta;Ponte;Declive,Sim  ,-15.665888,-47.808308,60.0,0.0,0,24,36,0,24,Leve,Inclinacao,Simples,Urbana,Adverso,Noite,BRASILIA,0.2549779036626384,0.6146223814832862,-0.6587161133145775,0.22775906785017544,-0.2683501262047844,2
591739,2024-04-04,quinta-feira,13:24:00,DF,20,"3,9  ",BRASILIA,Não,Chuva,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Declive;Reta,Sim  ,-15.679851,-47.832211,96.0,0.0,0,0,80,16,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Adverso,Dia,BRASILIA,0.12345300737000746,1.2396333787255207,0.12063081502996452,-0.662170746476292,0.051211532830910955,7
