id,causa_acidente,classificacao_acidente,tipo_pista,tracado_via,fase_dia,condicao_metereologica,tipo_acidente,uso_solo,mortos,feridos_graves,feridos_leves,cluster
618696,Iluminação deficiente,Com Vítimas Fatais,Simples,Reta,Plena Noite,Céu Claro,Atropelamento de Pedestre,Não  ,2,0,0,0
618844,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Fatais,Múltipla,Declive;Reta,Plena Noite,Céu Claro,Queda de ocupante de veículo,Sim  ,4,0,4,2
620272,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Dupla,Reta;Declive,Pleno dia,Céu Claro,Colisão com objeto,Sim  ,0,3,0,2
620603,Restrição de visibilidade em curvas verticais,Com Vítimas Fatais,Simples,Curva,Plena Noite,Céu Claro,Saída de leito carroçável,Não  ,4,0,16,0
620875,Pista Escorregadia,Com Vítimas Feridas,Dupla,Rotatória,Plena Noite,Céu Claro,Queda de ocupante de veículo,Sim  ,0,2,0,1
621146,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas,Dupla,Reta;Em Obras,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,2,0,1
621483,Iluminação deficiente,Com Vítimas Feridas,Dupla,Reta,Plena Noite,Céu Claro,Capotamento,Sim  ,0,0,4,2
621761,Acostamento em desnível,Com Vítimas Feridas,Dupla,Em Obras;Declive,Pleno dia,Céu Claro,Tombamento,Sim  ,0,0,4,2
621780,Ausência de sinalização,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,0,3,1
621804,Falta de elemento de contenção que evite a saída do leito carroçável,Sem Vítimas,Dupla,Reta,Pleno dia,Céu Claro,Colisão com objeto,Não  ,0,0,0,2
621874,Iluminação deficiente,Com Vítimas Feridas,Dupla,Reta,Plena Noite,Céu Claro,Saída de leito carroçável,Sim  ,0,0,2,2
622015,Acostamento em desnível,Com Vítimas Feridas,Dupla,Em Obras;Reta,Pleno dia,Céu Claro,Queda de ocupante de veículo,Não  ,0,2,0,2
622056,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,1,0,1
622418,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Dupla,Reta,Plena Noite,Céu Claro,Capotamento,Sim  ,0,0,8,2
623631,Ausência de sinalização,Sem Vítimas,Simples,Reta,Plena Noite,Céu Claro,Saída de leito carroçável,Não  ,0,0,0,0
624015,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Dupla,Reta,Plena Noite,Céu Claro,Saída de leito carroçável,Sim  ,0,0,4,2
625936,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas,Múltipla,Reta,Pleno dia,Céu Claro,Tombamento,Não  ,0,0,2,2
626566,Deficiência do Sistema de Iluminação/Sinalização,Sem Vítimas,Dupla,Interseção de Vias,Plena Noite,Céu Claro,Colisão lateral mesmo sentido,Sim  ,0,0,0,1
627230,Iluminação deficiente,Com Vítimas Feridas,Dupla,Reta,Plena Noite,Céu Claro,Atropelamento de Pedestre,Sim  ,0,1,0,2
627245,Acostamento em desnível,Com Vítimas Feridas,Simples,Reta,Plena Noite,Céu Claro,Colisão frontal,Não  ,0,1,1,0
628003,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,0,4,1
628742,Declive acentuado,Com Vítimas Feridas,Dupla,Reta;Desvio Temporário;Declive,Pleno dia,Céu Claro,Engavetamento,Sim  ,0,0,2,1
628922,Ausência de sinalização,Com Vítimas Feridas,Dupla,Reta,Pleno dia,Céu Claro,Queda de ocupante de veículo,Sim  ,0,2,0,1
629818,Ausência de sinalização,Com Vítimas Fatais,Simples,Em Obras;Declive;Curva,Pleno dia,Céu Claro,Derramamento de carga,Não  ,10,0,5,0
631279,Acesso irregular,Com Vítimas Feridas,Simples,Aclive;Reta,Plena Noite,Chuva,Eventos atípicos,Não  ,0,0,1,0
