id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean
580994,2024-02-13,terça-feira,20:44:00,GO,40,"9,3  ",LUZIANIA,Não,Pedestre - Ingestão de álcool/ substâncias psicoativas,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim  ,-16.131158,-47.957739,12,0,4,0,8,0,8,Grave,Reta,Simples,Urbana,Normal,Noite,LUZIANIA
581510,2024-02-16,sexta-feira,15:00:00,GO,20,1    ,FORMOSA,Não,Restrição de visibilidade em curvas verticais,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Declive;Curva,Sim  ,-15.579424,-47.334297,12,0,0,6,6,0,6,Leve,Curva,Simples,Urbana,Normal,Dia,FORMOSA
581709,2024-02-17,sábado,17:45:00,DF,60,19   ,BRASILIA,Sim,Acumulo de água sobre o pavimento,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim  ,-15.974583,-48.189411,4,0,0,2,0,2,2,Leve,Reta,Simples,Urbana,Normal,Dia,BRASILIA
581936,2024-02-18,domingo,20:21:00,DF,20,"1,7  ",BRASILIA,Não,Frear bruscamente,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta;Interseção de Vias,Sim  ,-15.685814,-47.849838,20,0,16,0,4,0,32,Grave,Reta,Simples,Urbana,Adverso,Noite,BRASILIA
582001,2024-02-19,segunda-feira,08:46:00,DF,20,2    ,BRASILIA,Sim,Acesso irregular,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Nublado,Múltipla,Interseção de Vias;Reta,Sim  ,-15.682896,-47.840729,4,0,0,0,2,2,0,Sem_Lesoes,Reta,Multipla,Urbana,Normal,Dia,BRASILIA
582268,2024-02-20,terça-feira,14:00:00,DF,20,13   ,BRASILIA,Sim,Pista Escorregadia,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não  ,-15.638752,-47.749599,1,0,0,0,0,1,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA
582269,2024-02-20,terça-feira,16:00:00,DF,20,"15,6 ",BRASILIA,Sim,Pista Escorregadia,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não  ,-15.630189,-47.733288,1,0,0,0,0,1,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Dia,BRASILIA
582856,2024-02-23,sexta-feira,19:30:00,GO,414,"410,7",ABADIANIA,Não,Velocidade Incompatível,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Interseção de Vias;Reta,Sim  ,-16.0566499,-48.8538837,6,0,3,0,3,0,6,Grave,Reta,Simples,Urbana,Normal,Noite,ABADIANIA
584282,2024-03-01,sexta-feira,18:05:00,GO,40,"7,1  ",VALPARAISO DE GOIAS,Não,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Reta,Sim  ,-16.108482,-47.972524,4,0,0,2,2,0,2,Leve,Reta,Simples,Urbana,Normal,Transicao,VALPARAISO DE GOIAS
584475,2024-03-02,sábado,13:25:00,DF,60,"8,6  ",BRASILIA,Não,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Declive;Reta,Sim  ,-15.90542,-48.138196,12,0,0,6,6,0,6,Leve,Inclinacao,Simples,Urbana,Adverso,Dia,BRASILIA
584546,2024-03-02,sábado,19:18:00,GO,50,"97,8 ",CRISTALINA,Não,Reação tardia ou ineficiente do condutor,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Rotatória;Em Obras,Sim  ,-16.7660221,-47.6158941,30,0,0,0,30,0,0,Sem_Lesoes,Reta,Simples,Urbana,Normal,Noite,CRISTALINA
